Вакансия,Компания,Обязанности,Требования,Зар. плата,URL
Python Developer, LLC ICONIC,Разработка web сервисов на протоколе GraphQL. Разработка микросервисов. Интеграции с blockchain нодами.,"Опыт разработки на Python не менее 3 лет, разработки на >=Python 3.6. Навык работы с SQLAlchemy. Навык работы PostgreSQL. ",170 000-230 000 руб.,https://hh.ru/vacancy/31143223?query=python
Программист Python, zClick.pro,"Разработка нового функционала на Django (создание кода с нуля). Рефакторинг текущей кодовой базы. Поиск ошибок, их устранение. Развертка репозитория на...","Умение разбираться в чужом коде. Опыт работы с Python3, Django, PostgreSQL от 2 лет. Опыт работы с Django Rest...",150 000-300 000 руб.,https://hh.ru/vacancy/31139766?query=python
Python / Django developer, NetworkOptix,"Creating, supporting and developing a set of projects (Django applications): Licensing management portal. Various management and automatization tools for partners. ",Bachelor or master degree in STEM field. Expert working knowledge of Python and Django framework. Hands-on experience with SQL. ,от 4 000 USD,https://hh.ru/vacancy/30226206?query=python
Data Engineering Team Lead (Python / C++), DataFork,"Автоматизация процессов сбора, хранения и анализа данных из открытых и закрытых источников (ETL / CMC). Автоматизация процессов обработки, «обогащения» и нормализации...",Умение читать / писать код на python и С++. Опыт разработки в среде linux. Опыт руководства командой 3-5 человек. ,300 000-400 000 руб.,https://hh.ru/vacancy/31078426?query=python
Программист Python, First data,Проектировать и разрабатывать веб-сервисы на языке Python с использованием Flask и Django. Проектировать коммуникации между большим различными сервисами (api...,"Опыт проектирования и разработки сложных систем. Хорошие знания Python 2/3, Flask, Django, Postgresql, RabbitMQ. Хорошие знания javascript, css. ",130 000-150 000 руб.,https://hh.ru/vacancy/31226752?query=python
Программист Python,ООО ВойсЛинк,"Разработка программного обеспечения встраиваемых систем под Linux и десктопных приложений под Windows. Поддержка кода, написание сопроводительной документации.",Опыт коммерческой разработки на Python от 2-х лет. Умение проверять свой код. Опыт работы с реляционными базами данных. ,от 120 000 руб.,https://hh.ru/vacancy/30405924?query=python
Разработчик Python,ООО «Баланс-Платформа»,"Реализация банковских продуктов на языке Python (у нас версия 3+). Участие в построении технической архитектуры крупного проекта, выработка решений...",Опыт программирования на Python 2-х лет и знание его экосистемы. Опыт проектирования и реализации (хотя бы в составе команды...,от 130 000 руб.,https://hh.ru/vacancy/31194079?query=python
Python разработчик,ООО КРИПТОН,,"Опыт работы: Python(Flask, BeautifulSoup, Splash, Selenium), Elasticsearch, PostgreSQL, Web Анализ, Parsing, Web Scraping, GitHub, HTML.",100 000-140 000 руб.,https://hh.ru/vacancy/30948610?query=python
Python разработчик ‍‍,ООО АппФоллоу,"Команды: – Команда парсинга: Парсинга популярных магазинов приложений App Store, Google Play, Mac Store и Amazon Store. – Команда ответов на отзывы...","Python-разработчик, найдись! Уверенное владение Python, MySQL, MongoDB, Redis. Владение WSGI frameworks, Aiohttp или Asyncio производных. Понимание распределенных/параллельных вычислений. ",70 000-140 000 руб.,https://hh.ru/vacancy/30934506?query=python
Middle python developer,ИП Филиппова Мария Александровна,Участвовать в проектировании архитектуры сервисов и серверного приложения. Работать в команде с Data scientist. Проводить Code-review.,Опыт в разработке не менее 2х лет. Плюсом будет опыт работы с Golang и другими языками программирования. ,120 000-180 000 руб.,https://hh.ru/vacancy/31231028?query=python
Python developer,ООО Hawk House Integration,"разработка backend на базе веб-фреймворков (Django, Flask, Twisted и др.), создание REST API. - работа с системами контроля версий (Git).","Что хотим видеть в опыте будущего Python developer : - проектирование и реализация БД, опыт работы с SQL и NoSQL СУБД. - ",от 130 000 руб.,https://hh.ru/vacancy/31121147?query=python
Python developer, NetworkOptix,"Продукт — система видеонаблюдения NX Witness — кроссплатформенный коробочный продукт, работающий распределенно в сетях. Тесты — Python-проект для работы с виртуальными машинами...","Умение и опыт работы в команде. Уверенные знания Python. Опыт разработки под Linux, знание командной строки Linux. Наличие примеров кода. ",от 4 000 USD,https://hh.ru/vacancy/30005963?query=python
Python Data Scientist, Web Interactive World,"Работа с большими объемами структурированных и неструктурированных данных. Подготовка данных, выявление закономерностей на признаках, feature engineering. Построение, оценка и внедрение...","Хорошая математическая подготовка, владение основами статистики, умение объяснить и доказать полученный результат. Отличное владение Python и ML-стеком (statsmodels, sklearn...",от 110 000 руб.,https://hh.ru/vacancy/31026531?query=python
Программист Python," Insilico Medicine, Inc",Алгоритмическая подготовка.,Техническое образование или эквивалентный практический опыт. Хороший опыт разработки на Python. Опыт разработки веб-приложений.,100 000-180 000 руб.,https://hh.ru/vacancy/31186510?query=python
Программист Python,АО Группа Компаний Основа,Написание серверов для обработки данных. Написание серверной части клиент-серверной платформы.,"Уверенное знание Python. Умение профилировать и оптимизировать код на Python. Уверенная работа с Git. Знание Django, опыт работы с ORM. ",Не указано,https://hh.ru/vacancy/30933805?query=python
Junior Data Developer (Python), DataFork,"Автоматизация процессов сбора, хранения и анализа данных из открытых и закрытых источников (ETL / CMC). Автоматизация процессов обработки, «обогащения» и нормализации...",Уверенное владение python (3.*). Опыт разработки в среде linux. Высшее техническое образование. Опыт работы с библиотекой pandas. Владение С++ и...,100 000-140 000 руб.,https://hh.ru/vacancy/31078374?query=python
Python-Developer, BHAGs,Разработка системы сбора данных тематических сайтов с последующим анализом данных. Анализ данных / Машинное обучение. Прогнозирование на основе текущей ситуации на...,"Опыт работы по направлению от 1 года. Уверенные навыки Python 3, знание стандартных структур данных, написание скриптов обработки данных. ",100 000-130 000 руб.,https://hh.ru/vacancy/31002272?query=python
Senior Python разработчик,ООО Рейтинг Букмекеров,"Работать с большими данными, анализ данных, написание парсера отзывов. Разработка и внедрение функционала админки на Django. Разработка и внедрение машинного...","Что нужно знать: Плюсом будет keras. Tensorflow. Преимуществом будет: - знание сферы беттинга, спорта.",150 000-180 000 руб.,https://hh.ru/vacancy/30463644?query=python
Программист Python,ООО НТБ,Компания является разработчиком нового для рынка продукта в области управления привилегированным доступом. Вас ожидает интересная работа в области построения алгоритмов...,"Предыдущий опыт и интерес создания ПО на Python, с использованием различных фреймворков. Опыт создания распределённых/микросервисных систем, понимание принципов работы...",Не указано,https://hh.ru/vacancy/30871084?query=python
Python-Разработчик/Python Developer, BestDoctor,Backend-разработка внутренних продуктов. Участие в формировании технической стратегии BestDoctor и ее реализация. Проведение code review. Покрытие кодовой базы тестами.,"Опыт web-разработки на Python не менее 2 лет. Опыт работы с Django от года. Хорошее знание Git, PostgreSQL. ",120 000-150 000 руб.,https://hh.ru/vacancy/31101537?query=python
